Gender,Rating Value,mainaccord1,mainaccord2,mainaccord3
unisex,1.42,rose,woody,fruity
women,1.86,citrus,white floral,sweet
unisex,1.91,citrus,white floral,sweet
men,1.92,fruity,nutty,woody
men,1.93,aromatic,warm spicy,fresh spicy
men,1.95,citrus,white floral,sweet
men,1.95,white floral,citrus,fresh
men,2.05,woody,amber,citrus
women,2.12,citrus,fruity,floral
women,2.41,powdery,musky,violet
men,2.53,citrus,white floral,fresh spicy
unisex,2.62,leather,warm spicy,rose
women,2.64,fruity,tropical,sweet
women,2.65,fruity,woody,sweet
unisex,2.66,citrus,oud,fruity
men,2.68,green,fresh spicy,aromatic
unisex,2.68,rubber,mineral,paper
women,2.69,woody,white floral,fruity
women,2.71,floral,powdery,citrus
men,2.71,ozonic,aquatic,lavender
men,2.72,leather,fresh spicy,warm spicy
unisex,2.74,aromatic,fresh spicy,woody
women,2.75,citrus,white floral,musky
unisex,2.81,woody,vanilla,amber
unisex,2.81,citrus,white floral,woody
unisex,2.82,vinyl,mineral,metallic
unisex,2.82,musky,warm spicy,animalic
women,2.83,yellow floral,powdery,floral
men,2.83,fruity,mossy,woody
men,2.84,leather,woody,aromatic
unisex,2.85,earthy,woody,powdery
men,2.86,aromatic,woody,aquatic
unisex,2.86,white floral,citrus,woody
women,2.88,ozonic,aldehydic,fresh
unisex,2.89,citrus,green,white floral
men,2.9,woody,warm spicy,powdery
unisex,2.91,rose,fresh spicy,oud
women,2.92,warm spicy,citrus,woody
unisex,2.92,fruity,oud,woody
unisex,2.93,fresh spicy,aromatic,fruity
women,2.93,floral,powdery,fresh
unisex,2.93,fresh,green,floral
unisex,2.93,warm spicy,citrus,aromatic
women,2.93,floral,fresh,white floral
unisex,2.94,woody,smoky,leather
unisex,2.94,woody,warm spicy,earthy
men,2.95,citrus,warm spicy,cinnamon
women,2.95,sweet,powdery,fruity
unisex,2.96,amber,aldehydic,fresh
women,2.96,white floral,green,musky
unisex,2.96,white floral,green,fresh
unisex,2.96,fruity,almond,floral
women,2.96,green,citrus,floral
women,2.97,fruity,sweet,caramel
women,2.97,white floral,floral,fruity
women,2.97,vanilla,floral,rose
unisex,2.97,fruity,fresh spicy,aromatic
unisex,2.97,woody,musky,amber
unisex,2.97,yellow floral,sweet,woody
women,2.98,white floral,fresh,floral
women,2.99,rose,fruity,tropical
unisex,2.99,aromatic,woody,fresh spicy
women,2.99,floral,green,citrus
women,2.99,floral,fruity,amber
women,3.0,fruity,sweet,fresh
women,3.0,white floral,tuberose,almond
unisex,3.0,citrus,white floral,woody
women,3.0,woody,rum,warm spicy
women,3.0,citrus,aquatic,ozonic
men,3.01,aromatic,woody,fresh spicy
women,3.01,white floral,musky,amber
unisex,3.02,white floral,fruity,green
women,3.02,green,aromatic,yellow floral
unisex,3.02,sweet,fruity,musky
unisex,3.02,fruity,sweet,warm spicy
women,3.03,fruity,warm spicy,fresh
men,3.03,aromatic,fresh spicy,citrus
unisex,3.03,woody,green,aromatic
unisex,3.03,woody,powdery,vanilla
men,3.04,citrus,aromatic,woody
women,3.04,citrus,woody,musky
women,3.04,fruity,musky,floral
women,3.05,tropical,floral,fruity
men,3.05,aromatic,woody,fresh spicy
unisex,3.06,white floral,amber,animalic
